File name,Numeber of lines
51255.txt, 1059
51257.txt, 1025
51258.txt, 711
5120.txt, 5993
5121.txt, 10725
5122.txt, 11095
5123.txt, 1092
5124.txt, 9865
5125.txt, 2671
5128.txt, 12026
5129.txt, 14510
51263.txt, 6268
51267.txt, 2056
51268.txt, 1390
51273.txt, 1935
51274.txt, 1449
51286.txt, 1091
51288.txt, 661
51295.txt, 2250
51296.txt, 1194
51300.txt, 15040
51304.txt, 1294
51305.txt, 1137
51307.txt, 9031
51308.txt, 9837
51310.txt, 2264
51311.txt, 763
51317.txt, 1332
51320.txt, 1416
51321.txt, 1103
51331.txt, 1665
51335.txt, 1039
51336.txt, 1091
51337.txt, 1226
51342.txt, 765
51344.txt, 2637
51350.txt, 1234
51351.txt, 1216
51353.txt, 1301
5131.txt, 6683
5133.txt, 5427
5135.txt, 13094
5136.txt, 17523
5137.txt, 3058
51361.txt, 1452
51362.txt, 1337
51363.txt, 771
51371.txt, 1306
51379.txt, 1674
51380.txt, 1159
51395.txt, 1438
51396.txt, 1025
51397.txt, 774
51398.txt, 1149
51407.txt, 2478
51408.txt, 1995
51409.txt, 7365
51412.txt, 3216
51413.txt, 1867
51414.txt, 929
51416.txt, 503
51421.txt, 774
51425.txt, 8302
51428.txt, 22107
51433.txt, 1377
51434.txt, 852
51435.txt, 820
51436.txt, 1879
51437.txt, 5958
51445.txt, 1681
51449.txt, 1653
51455.txt, 15779
5140.txt, 37264
5141.txt, 6417
5142.txt, 10795
5143.txt, 13450
5144.txt, 12736
5145.txt, 10069
5146.txt, 4194
5149.txt, 8917
51460.txt, 1042
51461.txt, 1020
51473.txt, 1177
51478.txt, 1005
51482.txt, 935
51483.txt, 1327
51493.txt, 803
51494.txt, 1092
51498.txt, 757
51499.txt, 1071
51508.txt, 1076
51509.txt, 722
51518.txt, 672
51519.txt, 1054
51523.txt, 3164
51531.txt, 1376
51533.txt, 950
51534.txt, 1494
51537.txt, 11988
51538.txt, 5639
51539.txt, 5119
51545.txt, 1097
51546.txt, 564
51549.txt, 602
51550.txt, 547
51552.txt, 5713
51559.txt, 3475
5150.txt, 10005
5151.txt, 11452
5152.txt, 17281
5153.txt, 10579
5155.txt, 11088
5156.txt, 14655
5157.txt, 16949
51563.txt, 460
51564.txt, 470
