File name,Numeber of lines
5845.txt, 2518
5846.txt, 2222
5847.txt, 11870
5848.txt, 3239
5849.txt, 1640
5850.txt, 7695
5851.txt, 11489
5852.txt, 6853
5853.txt, 13037
5854.txt, 3339
5855.txt, 3365
5856.txt, 4942
5857.txt, 3108
5858.txt, 3669
5858.txt, 3669
5859.txt, 4031
580.txt, 37082
581.txt, 3743
582.txt, 3835
583.txt, 26404
584.txt, 3358
585.txt, 3019
586.txt, 7394
587.txt, 8504
5860.txt, 4206
5861.txt, 4418
5862.txt, 4623
5863.txt, 4340
5864.txt, 4154
5865.txt, 8398
5866.txt, 3387
5867.txt, 5569
5868.txt, 1663
5869.txt, 4018
5870.txt, 9046
5871.txt, 10390
5872.txt, 9554
5873.txt, 2216
5874.txt, 10733
5875.txt, 7777
5876.txt, 8406
5882.txt, 2693
5883.txt, 7908
5885.txt, 401
5886.txt, 425
5887.txt, 442
5888.txt, 3447
5889.txt, 1428
5890.txt, 1894
5891.txt, 18139
5892.txt, 4460
5893.txt, 7697
5894.txt, 11556
5895.txt, 7123
5896.txt, 8201
5897.txt, 22534
5898.txt, 11662
5899.txt, 4943
5900.txt, 4033
5901.txt, 9223
5902.txt, 14140
5903.txt, 3210
5904.txt, 817
5905.txt, 1198
5906.txt, 1600
5907.txt, 991
5908.txt, 997
5909.txt, 2438
5910.txt, 844
5911.txt, 2197
5912.txt, 906
5913.txt, 831
5914.txt, 1429
5915.txt, 3621
5916.txt, 4435
5917.txt, 1952
5918.txt, 1265
5919.txt, 639
5920.txt, 1040
5921.txt, 20171
5922.txt, 2240
5923.txt, 1630
5924.txt, 1541
5925.txt, 1539
5926.txt, 1000
5927.txt, 633
5928.txt, 689
5929.txt, 1343
5930.txt, 1123
5931.txt, 1140
5932.txt, 1686
5933.txt, 2060
5934.txt, 1037
5935.txt, 1180
5936.txt, 1938
5937.txt, 1295
5938.txt, 1122
5939.txt, 863
5940.txt, 506
5941.txt, 855
5942.txt, 1288
5943.txt, 1220
5944.txt, 809
5945.txt, 836
5946.txt, 20232
5947.txt, 3121
5948.txt, 6128
5949.txt, 2378
5950.txt, 21469
5951.txt, 5676
5952.txt, 6158
5953.txt, 7078
5954.txt, 5199
5955.txt, 2246
5956.txt, 5070
5957.txt, 8276
5958.txt, 4127
5959.txt, 23921
590.txt, 6811
591.txt, 2753
592.txt, 3464
593.txt, 10257
594.txt, 5281
595.txt, 2262
596.txt, 3058
597.txt, 16924
598.txt, 34101
599.txt, 30407
5960.txt, 2028
5961.txt, 9168
5962.txt, 10648
5963.txt, 10035
5964.txt, 19929
5965.txt, 8903
5966.txt, 6223
5967.txt, 6189
5968.txt, 6149
5969.txt, 17749
5970.txt, 3189
5971.txt, 10789
5972.txt, 12811
5974.txt, 6651
5975.txt, 6390
5976.txt, 17625
5977.txt, 7923
5978.txt, 9359
5979.txt, 12672
5980.txt, 15611
5981.txt, 4832
5982.txt, 703
5983.txt, 8741
5984.txt, 2220
5989.txt, 6660
5990.txt, 4623
5991.txt, 3925
5992.txt, 5931
5993.txt, 7848
5994.txt, 6659
5996.txt, 6678
5997.txt, 7332
5998.txt, 22915
5999.txt, 19655
