1.txt, 2533
2.txt, 264
3.txt, 320
4.txt, 215
5.txt, 997
6.txt, 284
7.txt, 232
8.txt, 484
9.txt, 789
10000.txt, 1902
10001.txt, 958
10002.txt, 5690
10003.txt, 6327
10004.txt, 5361
10005.txt, 7313
10006.txt, 1582
10007.txt, 3695
10008.txt, 9154
10009.txt, 8502
10010.txt, 1451
10011.txt, 3881
10012.txt, 9175
10013.txt, 2535
10014.txt, 2858
10015.txt, 2681
10016.txt, 2824
10017.txt, 2661
10018.txt, 2741
10019.txt, 2740
1000.txt, 20060
1001.txt, 7045
1002.txt, 6928
1003.txt, 7186
1004.txt, 20366
1005.txt, 5668
1006.txt, 5591
1007.txt, 5429
1008.txt, 21178
10020.txt, 5632
10021.txt, 7316
10022.txt, 4811
10023.txt, 3583
10024.txt, 6441
10025.txt, 9639
10026.txt, 1937
10027.txt, 9072
10028.txt, 5369
10029.txt, 6896
10030.txt, 10790
10031.txt, 10377
10032.txt, 2622
10033.txt, 2648
10034.txt, 2888
10035.txt, 2750
10036.txt, 2778
10037.txt, 8222
10038.txt, 21255
10039.txt, 23550
10040.txt, 1053
10041.txt, 9132
10042.txt, 8147
10043.txt, 3319
10044.txt, 5621
10045.txt, 6265
10046.txt, 9802
10047.txt, 2785
10048.txt, 6225
10049.txt, 2981
10050.txt, 2838
10051.txt, 4081
10052.txt, 3508
10053.txt, 13668
10054.txt, 920
10055.txt, 17781
10056.txt, 12006
10057.txt, 6270
10058.txt, 8321
10059.txt, 6650
10060.txt, 9956
10061.txt, 1159
10062.txt, 15638
10063.txt, 2686
10064.txt, 21764
10065.txt, 4031
10066.txt, 10679
10067.txt, 9563
10068.txt, 10585
10069.txt, 1368
10070.txt, 4169
10071.txt, 3378
10072.txt, 8253
10073.txt, 12786
10074.txt, 1916
10075.txt, 1339
10076.txt, 9408
10077.txt, 9286
10078.txt, 1441
10079.txt, 9182
10080.txt, 4694
10081.txt, 8072
10082.txt, 12082
10083.txt, 13157
10084.txt, 6819
10085.txt, 12522
10086.txt, 9862
10087.txt, 4148
10088.txt, 9832
10089.txt, 3139
10090.txt, 8998
10091.txt, 2650
10092.txt, 2694
10093.txt, 5606
10094.txt, 8987
10095.txt, 9764
10096.txt, 3635
10097.txt, 5340
10098.txt, 9040
10099.txt, 5363
10100.txt, 7037
10101.txt, 4351
10102.txt, 11389
10103.txt, 15736
10104.txt, 2721
10105.txt, 2719
10106.txt, 2508
10107.txt, 7857
10108.txt, 1079
10109.txt, 6686
10110.txt, 9168
10111.txt, 10566
10112.txt, 3727
10113.txt, 5238
10114.txt, 16624
10116.txt, 10525
10117.txt, 19363
10118.txt, 9424
10119.txt, 6006
1013.txt, 8010
1014.txt, 3467
1015.txt, 12184
1016.txt, 2168
1019.txt, 6685
10120.txt, 9340
10121.txt, 6071
10122.txt, 2194
10123.txt, 7692
10124.txt, 5955
10125.txt, 9762
10126.txt, 6475
10127.txt, 3889
10128.txt, 15264
10129.txt, 11776
10130.txt, 22431
10131.txt, 6418
10132.txt, 14249
10133.txt, 3110
10134.txt, 7843
10135.txt, 9352
10136.txt, 67002
10138.txt, 9085
10139.txt, 8363
10141.txt, 1680
10142.txt, 7358
10143.txt, 2025
10144.txt, 2614
10145.txt, 2746
10146.txt, 4862
10147.txt, 23552
10148.txt, 11580
10149.txt, 18149
10150.txt, 6085
10151.txt, 15498
10159.txt, 3948
10160.txt, 6680
10161.txt, 17233
10162.txt, 8690
10163.txt, 4024
10164.txt, 5357
10165.txt, 16437
10166.txt, 9239
100.txt, 124788
101.txt, 13006
102.txt, 6158
